Depth	Tumor_Purity	TP	FP	FN	Support_Read
20	60	105	23	1563	9
40	20	16	42	1652	9
20	0	0	16	1668	9
30	100	1014	246	654	9
20	40	16	14	1652	9
10	20	0	6	1668	9
50	60	1014	279	654	9
40	0	0	39	1668	9
20	100	543	115	1125	9
50	20	55	77	1613	9
10	80	16	3	1652	9
20	80	297	71	1371	9
50	100	1278	399	391	9
30	60	410	109	1258	9
40	100	1189	328	479	9
30	40	105	46	1563	9
10	40	0	4	1668	9
50	40	543	156	1125	9
30	0	0	26	1668	9
40	60	781	184	887	9
50	0	0	57	1668	9
10	60	4	6	1664	9
30	80	781	181	887	9
10	100	55	9	1613	9
40	80	1053	285	615	9
