Depth	Tumor_Purity	TP	FP	FN	Support_Read
10	60	0	178	1668	6
30	80	0	1284	1668	6
10	100	0	440	1668	6
40	80	0	1396	1668	6
20	20	0	67	1668	8
40	40	0	861	1668	8
10	0	0	7	1668	8
50	80	0	1385	1668	8
30	20	0	162	1668	8
20	60	0	530	1668	8
40	20	0	290	1668	8
20	0	0	42	1668	8
30	100	0	1241	1668	8
20	40	0	242	1668	8
10	20	0	6	1668	8
50	60	0	1297	1668	8
40	0	0	82	1668	8
20	100	0	973	1668	8
50	20	0	422	1668	8
10	80	0	145	1668	8
20	80	0	800	1668	8
50	100	0	1450	1668	8
30	60	0	917	1668	8
40	100	0	1369	1668	8
30	40	0	562	1668	8
10	40	0	18	1668	8
50	40	0	1055	1668	8
30	0	0	72	1668	8
40	60	0	1165	1668	8
50	0	0	96	1668	8
10	60	0	61	1668	8
30	80	0	1139	1668	8
10	100	0	238	1668	8
40	80	0	1297	1668	8
